split,split2,split3,split4,split5,split6,split7,split8
Ethiopia,Cocaine-type,Cocaine salts,2,352.3,Gram,HONLAF,,
United Republic of Tanzania,Cocaine-type,Cocaine salts,151,Kilogram,HONLAF,,
Algeria,Cocaine-type,Cocaine salts,182,856.7,Gram,ARQ,,
Egypt,Cocaine-type,Cocaine salts,40.41,Kilogram,ARQ,,
Morocco,Cocaine-type,Cocaine salts,23.53,Kilogram,ARQ,,
Botswana,Cocaine-type,Cocaine salts,112.77,Gram,HONLAF,,
Namibia,Cocaine-type,Cocaine salts,2.45,Kilogram,HONLAF,,
Namibia,Cocaine-type,Crack,1,888,Unit,HONLAF,,
Zambia,Cocaine-type,Coca bush,1,200,Plants,Govt,,
Zambia,Cocaine-type,Cocaine salts,21,278.82,Gram,Govt,,
Benin,Cocaine-type,Cocaine salts,69.79,Kilogram,HONLAF,,
Cameroon,Cocaine-type,Cocaine salts,8.27,Kilogram,HONLAF,,
Cape Verde,Cocaine-type,Cocaine salts,2.23,Ton,INCSR,,
Côte d'Ivoire,Cocaine-type,Cocaine salts,27.35,Kilogram,ARQ,,
Gambia,Cocaine-type,Cocaine salts,11.15,Kilogram,Govt,,
Ghana,Cocaine-type,Cocaine salts,30.66,Kilogram,HONLAF,,
Niger,Cocaine-type,Cocaine salts,11.77,Kilogram,ARQ,,
Nigeria,Cocaine-type,Cocaine salts,131.89,Kilogram,ARQ,,
Bahamas,Cocaine-type,Cocaine salts,236,Kilogram,INCSR,,
Jamaica,Cocaine-type,Cocaine salts,338.23,Kilogram,ARQ,,
Jamaica,Cocaine-type,Crack,1.37,Kilogram,ARQ,,
Trinidad and Tobago,Cocaine-type,Non-specified cocaine,129,Kilogram,OC2014,,
Belize,Cocaine-type,Cocaine salts,114.9,Kilogram,INCSR,,
Belize,Cocaine-type,Crack,1.4,Kilogram,INCSR,,
Costa Rica,Cocaine-type,Cocaine salts,15,596.1,Kilogram,ARQ,,
Costa Rica,Cocaine-type,Crack,154,621,Piece,ARQ,,
El Salvador,Cocaine-type,Cocaine salts,373.52,Kilogram,ARQ,,
El Salvador,Cocaine-type,Crack,1.3,Kilogram,ARQ,,
Guatemala,Cocaine-type,Cocaine salts,4.7,Ton,INCSR,,
Honduras,Cocaine-type,Cocaine salts,2,282,Kilogram,INCSR,,
Nicaragua,Cocaine-type,Cocaine salts,9.3,Ton,INCSR,,
Nicaragua,Cocaine-type,Crack,4,Kilogram,INCSR,,
Panama,Cocaine-type,Coca paste/cocaine base (excl. crack),1.7,Ton,INCSR,,Coca paste
Panama,Cocaine-type,Cocaine salts,30.8,Ton,INCSR,,
Canada,Cocaine-type,Coca leaf,27.9,Kilogram,ARQ,,
Canada,Cocaine-type,Coca paste/cocaine base (excl. crack),14.7,Kilogram,ARQ,,Coca paste
Canada,Cocaine-type,Cocaine salts,1,275.7,Kilogram,ARQ,,
Canada,Cocaine-type,Cocaine salts,2,097,Millilitre,ARQ,,
Canada,Cocaine-type,Crack,6.47,Kilogram,ARQ,,
Canada,Cocaine-type,Non-specified cocaine,12.96,Litre,ARQ,,Liquid cocaine
Mexico,Cocaine-type,Cocaine salts,3.41,Ton,OC2014,,
Mexico,Cocaine-type,Crack,870,Gram,OC2014,,
United States of America,Cocaine-type,Coca leaf,94.51,Kilogram,ARQ,,
United States of America,Cocaine-type,Non-specified cocaine,104,345.13,Kilogram,FU,,
Argentina,Cocaine-type,Cocaine (base, paste and salts),10,461.92,Kilogram,ARQ,,
Bolivia (Plurinational State of),Cocaine-type,Cocaine salts,36,309.63,Kilogram,ARQ,,
Brazil,Cocaine-type,Coca leaf,0.09,Kilogram,ARQ,,
Brazil,Cocaine-type,Cocaine salts,19,874.62,Kilogram,ARQ,,
Chile,Cocaine-type,Coca leaf,0.88,Gram,ARQ,,
Chile,Cocaine-type,Coca leaf,110,Tablet,ARQ,,
Chile,Cocaine-type,Coca paste/cocaine base (excl. crack),9,675.39,Kilogram,ARQ,,Coca paste
Chile,Cocaine-type,Cocaine salts,3,150.18,Kilogram,ARQ,,
Chile,Cocaine-type,Crack,0.03,Kilogram,ARQ,,
Colombia,Cocaine-type,Coca leaf,718,991.53,Kilogram,ARQ,,
Colombia,Cocaine-type,Coca paste/cocaine base (excl. crack),55,Ton,OC2014,,
Colombia,Cocaine-type,Cocaine salts,188,021.17,Kilogram,ARQ,,
Ecuador,Cocaine-type,Coca leaf,2.18,Kilogram,ARQ,,
Ecuador,Cocaine-type,Coca paste/cocaine base (excl. crack),833.4,Kilogram,ARQ,,Cocaine base
Ecuador,Cocaine-type,Cocaine salts,31,146.82,Kilogram,ARQ,,
Guyana,Cocaine-type,Cocaine salts,100.8,Kilogram,INCSR,,
Paraguay,Cocaine-type,Cocaine salts,3,105.33,Kilogram,Govt,,
Peru,Cocaine-type,Coca leaf,2,076.15,Ton,FU,,Macerated coca leaf
Peru,Cocaine-type,Coca leaf,15.29,Ton,FU,,Dry coca leaf
Peru,Cocaine-type,Coca paste/cocaine base (excl. crack),19,697,Kilogram,ARQ,,Coca paste
Peru,Cocaine-type,Cocaine salts,12,677,Kilogram,ARQ,,
Peru,Cocaine-type,Cocaine salts,184,Capsule,ARQ,,
Suriname,Cocaine-type,Cocaine salts,395,Kilogram,INCSR,,
Suriname,Cocaine-type,Coca paste/cocaine base (excl. crack),223,163,Gram,ARQ,,Coca paste
Suriname,Cocaine-type,Cocaine salts,684,891,Gram,ARQ,,
Venezuela (Bolivarian Republic of),Cocaine-type,Coca paste/cocaine base (excl. crack),16.01,Kilogram,ARQ,,Basuco
Venezuela (Bolivarian Republic of),Cocaine-type,Cocaine salts,27,458.48,Kilogram,ARQ,,
Venezuela (Bolivarian Republic of),Cocaine-type,Crack,100.11,Kilogram,ARQ,,
Armenia,Cocaine-type,Cocaine salts,0.32,Gram,ARQ,,
Azerbaijan,Cocaine-type,Cocaine salts,0.12,Gram,ARQ,,
Georgia,Cocaine-type,Cocaine salts,7.6,Gram,ARQ,,
Kazakhstan,Cocaine-type,Cocaine salts,318.37,Gram,ARQ,,
China,Cocaine-type,Cocaine salts,99.47,Kilogram,ARQ,,
Hong Kong, China,Cocaine-type,Cocaine salts,733.64,Kilogram,ARQ,,
Hong Kong, China,Cocaine-type,Crack,9.29,Kilogram,ARQ,,
Indonesia,Cocaine-type,Cocaine salts,6,736.84,Gram,ARQ,,
Japan,Cocaine-type,Coca leaf,0.01,Kilogram,ARQ,,
Japan,Cocaine-type,Cocaine salts,6.85,Kilogram,ARQ,,
Macao, China,Cocaine-type,Cocaine salts,1,168.05,Gram,ARQ,,
Philippines,Cocaine-type,Cocaine salts,15.4,Kilogram,ARQ,,
Republic of Korea,Cocaine-type,Non-specified cocaine,0.06,Kilogram,ARQ,,
Iran (Islamic Republic of),Cocaine-type,Cocaine salts,0.4,Kilogram,ARQ,,
Israel,Cocaine-type,Cocaine salts,171,Kilogram,ARQ,,
Jordan,Cocaine-type,Cocaine salts,16.04,Kilogram,ARQ,,
